"0","Period End Date","3/28/2015","4/2/2016","4/1/2017","3/31/2018"
"0","Stmt Source","10-K","10-K","10-K","10-K"
"0","Stmt Source Date","5/18/2017","5/23/2018","5/23/2018","5/23/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","7,620.3","7,405.2","6,652.8","6,182.3"
"0","Cost of Revenue","3,242.4","3,218.5","3,001.7","2,430.6"
"0","Gross Profit","4,377.9","4,186.7","3,651.1","3,751.7"
"0","Selling,General and Administrative","3,300.3","3,412.5","3,171.0","3,095.5"
"1","General and Administrative Expense","-","-","-","-"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","-17.0","-191.4","-572.4","-158.0"
"0","Operating Expenses","3,325.5","3,412.5","3,171.0","3,095.5"
"0","Operating Income","1,052.4","774.2","480.1","656.2"
"0","Net Interest Income","-10.6","-14.7","-5.1","-5.9"
"0","Other Income/Expense,Net","-54.4","-207.7","-579.9","-161.1"
"0","Pre-Tax Income","987.4","551.8","-104.9","489.2"
"0","Provision for Income Tax","285.2","155.4","-5.6","326.4"
"0","Net Income","702.2","396.4","-99.3","162.8"
"0","Dividend Per Share","1.85","2.00","2.00","2.00"
"0","Tax Rate","0.29","0.28","0.05","0.67"
"0","Basic EPS","7.96","4.65","-1.20","1.99"
"1","Basic Weighted Average Shares","88.20","85.20","82.70","81.70"
"1","Basic EPS from Continuing Operations","7.96","4.65","-1.20","1.99"
"1","Basic EPS,Continuing and Discontinued","-","-","-","-"
"0","Diluted EPS","7.88","4.62","-1.20","1.97"
"1","Diluted Weighted Average Shares","89.10","85.90","82.70","82.50"
"1","Diluted EPS from Continuing Operations","7.88","4.62","-1.20","1.97"
"1","Diluted EPS,Continuing and Discontinued","-","-","-","-"
