"0","Period End Date","9/30/2017","12/31/2017","3/31/2018","6/30/2018"
"0","Stmt Source","10-Q","NA","10-Q","10-Q"
"0","Stmt Source Date","10/24/2017","-","4/25/2018","7/30/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","570.7","654.0","756.6","759.5"
"0","Cost of Revenue","196.6","200.8","200.4","196.1"
"0","Gross Profit","374.0","453.2","556.2","563.4"
"0","Selling,General and Administrative","112.8","131.7","124.0","150.3"
"1","General and Administrative Expense","53.0","80.6","68.4","47.6"
"1","Selling and Marketing Expense","59.8","51.1","55.6","102.7"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","-106.1","-217.1","-19.0","-70.1"
"0","Operating Expenses","339.2","351.6","386.3","437.9"
"0","Operating Income","34.8","101.5","169.9","125.5"
"0","Net Interest Income","-49.2","-51.5","-52.4","-53.9"
"0","Other Income/Expense,Net","-185.3","-178.0","-25.6","-180.0"
"0","Pre-Tax Income","-199.7","-127.9","91.9","-108.4"
"0","Provision for Income Tax","-72.0","-349.1","42.7","-28.5"
"0","Net Income","-127.7","221.2","49.2","-79.8"
"0","Dividend Per Share","0.02","0.02","0.02","0.02"
"0","Tax Rate","0.36","2.59","0.46","0.26"
"0","Basic EPS","-0.52","0.89","0.20","-0.32"
"1","Basic Weighted Average Shares","245.24","245.28","245.71","245.88"
"1","Basic EPS from Continuing Operations","-0.52","0.89","0.20","-0.32"
"1","Basic EPS,Continuing and Discontinued","-","-","-","-"
"0","Diluted EPS","-0.52","0.89","0.20","-0.32"
"1","Diluted Weighted Average Shares","245.24","245.99","246.59","245.88"
"1","Diluted EPS from Continuing Operations","-0.52","0.89","0.20","-0.32"
"1","Diluted EPS,Continuing and Discontinued","-","-","-","-"
