"0","Period End Date","9/30/2017","12/31/2017","3/31/2018","6/30/2018"
"0","Stmt Source","6-K","NA","6-K","6-K"
"0","Stmt Source Date","12/1/2017","-","5/17/2018","8/28/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","37.4","39.1","28.8","47.5"
"0","Cost of Revenue","28.4","31.6","28.1","31.6"
"0","Gross Profit","9.0","7.5","0.6","15.9"
"0","Selling,General and Administrative","6.3","7.6","5.8","8.4"
"1","General and Administrative Expense","5.7","7.1","5.5","8.0"
"1","Selling and Marketing Expense","0.5","0.5","0.3","0.4"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","0.2","-0.4","0.0","0.0"
"0","Operating Expenses","6.3","6.8","5.7","8.2"
"0","Operating Income","2.8","0.7","-5.1","7.7"
"0","Net Interest Income","0.1","0.4","0.5","0.5"
"0","Other Income/Expense,Net","0.2","-0.4","0.0","-"
"0","Pre-Tax Income","3.0","0.7","-4.5","8.2"
"0","Provision for Income Tax","1.5","0.5","-1.5","2.9"
"0","Net Income","1.6","0.2","-2.7","4.7"
"0","Dividend Per Share","-","-","-","-"
"0","Tax Rate"
"0","Basic EPS","0.07","-0.01","-0.09","0.16"
"1","Basic Weighted Average Shares","23.34","29.27","29.21","29.35"
"1","Basic EPS from Continuing Operations","0.07","-0.01","-0.09","0.16"
"1","Basic EPS,Continuing and Discontinued","0.00","-","-","-"
"0","Diluted EPS","0.06","-0.01","-0.09","0.15"
"1","Diluted Weighted Average Shares","25.26","31.69","29.21","31.34"
"1","Diluted EPS from Continuing Operations","0.06","-0.01","-0.09","0.15"
"1","Diluted EPS,Continuing and Discontinued","0.00","-","-","-"
