"0","Period End Date","9/30/2017","12/31/2017","3/31/2018","6/30/2018"
"0","Stmt Source","10-Q","NA","10-Q","10-Q"
"0","Stmt Source Date","11/3/2017","-","5/3/2018","8/2/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","39,668.0","41,676.0","38,038.0","38,986.0"
"0","Cost of Revenue","18,906.0","22,332.0","17,946.0","17,458.0"
"0","Gross Profit","20,762.0","19,344.0","20,092.0","21,528.0"
"0","Selling,General and Administrative","8,317.0","10,000.0","7,897.0","8,684.0"
"1","General and Administrative Expense","-","-","-","-"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","-","-","-","-"
"0","Operating Expenses","14,359.0","16,071.0","13,891.0","15,062.0"
"0","Operating Income","6,403.0","3,273.0","6,201.0","6,466.0"
"0","Net Interest Income","-1,686.0","-1,926.0","-1,771.0","-2,023.0"
"0","Other Income/Expense,Net","257.0","-2,630.0","1,711.0","2,337.0"
"0","Pre-Tax Income","4,974.0","-1,283.0","6,141.0","6,780.0"
"0","Provision for Income Tax","1,851.0","-20,419.0","1,382.0","1,532.0"
"0","Net Income","3,029.0","19,037.0","4,662.0","5,132.0"
"0","Dividend Per Share","0.49","0.50","0.50","0.50"
"0","Tax Rate","0.37","0.40","0.23","0.23"
"0","Basic EPS","0.49","3.08","0.75","0.81"
"1","Basic Weighted Average Shares","6,162.00","6,164.00","6,161.00","6,351.00"
"1","Basic EPS from Continuing Operations","0.49","3.08","0.75","0.81"
"1","Basic EPS,Continuing and Discontinued","-","-","-","-"
"0","Diluted EPS","0.49","3.07","0.75","0.81"
"1","Diluted Weighted Average Shares","6,182.00","6,180.00","6,180.00","6,374.00"
"1","Diluted EPS from Continuing Operations","0.49","3.07","0.75","0.81"
"1","Diluted EPS,Continuing and Discontinued","-","-","-","-"
