"0","Period End Date","9/30/2017","12/31/2017","3/31/2018","6/30/2018"
"0","Stmt Source","10-Q","NA","10-Q","10-Q"
"0","Stmt Source Date","11/8/2017","-","5/4/2018","8/3/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","1,251.0","1,308.0","1,225.0","1,255.0"
"0","Cost of Revenue","585.0","637.0","534.0","566.0"
"0","Gross Profit","666.0","671.0","691.0","689.0"
"0","Selling,General and Administrative","422.0","440.0","395.0","417.0"
"1","General and Administrative Expense","-","-","-","-"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","-267.0","-2.0","5.0","9.0"
"0","Operating Expenses","631.0","652.0","616.0","637.0"
"0","Operating Income","35.0","19.0","75.0","52.0"
"0","Net Interest Income","-43.0","-42.0","-43.0","-43.0"
"0","Other Income/Expense,Net","-228.0","38.0","49.0","56.0"
"0","Pre-Tax Income","-236.0","15.0","81.0","65.0"
"0","Provision for Income Tax","-5.0","-318.0","24.0","21.0"
"0","Net Income","-181.0","287.0","39.0","33.0"
"0","Dividend Per Share","0.16","0.16","0.16","0.16"
"0","Tax Rate","0.23","0.40","0.27","0.27"
"0","Basic EPS","-1.64","2.60","0.35","0.30"
"1","Basic Weighted Average Shares","111.00","111.00","111.00","112.00"
"1","Basic EPS from Continuing Operations","-1.64","2.60","0.35","0.30"
"1","Basic EPS,Continuing and Discontinued","-","-","-","-"
"0","Diluted EPS","-1.64","2.58","0.34","0.29"
"1","Diluted Weighted Average Shares","111.00","115.00","113.00","113.00"
"1","Diluted EPS from Continuing Operations","-1.64","2.58","0.34","0.29"
"1","Diluted EPS,Continuing and Discontinued","-","-","-","-"
