"0","Period End Date","12/31/2014","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","10-K","10-K","10-K","10-K"
"0","Stmt Source Date","2/16/2017","2/20/2018","2/20/2018","2/20/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Net Income","-","-","-","-"
"1","Net Income from Continuing Operations","89.9","114.9","-228.6","-286.2"
"0","Operating Gains/Losses","43.8","-","-","86.0"
"1","Gain/Loss on Investment Securities","3.1","-","-","-"
"0","Depreciation,Amortization and Depletion","115.9","122.1","288.3","287.6"
"0","Deferred Taxes","8.1","-6.0","-12.5","-231.1"
"0","Other Non-Cash Items","3.8","27.6","-19.8","1.9"
"1","Asset Impairment Charge","0.0","-","352.2","549.7"
"1","Stock-Based Compensation","25.1","22.9","29.9","30.0"
"1","Excess Tax Benefit from Stock-Based Compensation","-","-","-","-"
"0","Change in Receivables","-18.6","21.5","-59.7","103.3"
"0","Change in Inventories","-27.2","-","54.3","13.0"
"0","Change in Pay/Accrued Exp","-5.4","-33.3","86.1","-29.3"
"1","Change in Payables","-","-","-","-"
"2","Change In Account Payable","-","-","-","-"
"0","Change in Other Current Assets","-","-","-","-"
"0","Change in Other Current Liabilities","-","-","-","-"
"0","Change in Other Working Capital","-","-","-","-"
"0","Cash Flow from Operating Activities","229.6","290.6","478.6","506.0"
"0","Purchase/Sale of Prop,Plant,Equip: Net","-85.7","-72.1","-173.5","-151.3"
"1","Purchase of Property,Plant and Equipment","-88.6","-72.7","-175.2","-159.7"
"0","Purchase/Sale of Business,Net","-993.0","-","-2,644.4","-"
"1","Purchase/Acquisition of Business","-","-","-","-"
"0","Purchase/Sale of Investments,Net","-","-","-","-1.2"
"1","Purchase of Investments","-","-","-","-1.2"
"2","Purchase of Long Term Investments","-","-","-","-"
"0","Sale of Investments","-","-","-","-"
"1","Sale of Long Term Investments","-","-","-","-"
"0","Other Investing Changes,Net","-0.5","-0.8","-1.6","-"
"0","Cash Flow from Investing Activities","-1,089.9","-86.3","-2,831.3","-159.8"
"0","Issuance/Payments of Debt,Net","511.8","-215.3","1,577.0","-249.9"
"1","Issuance/Payments of LT Debt,Net","511.8","-215.3","1,577.0","-249.9"
"2","Payments to Settle Long Term Debt","-1,326.6","-367.5","-464.3","-2,326.8"
"0","Issuance/Payments of Common Stock,Net","358.4","-","835.1","-28.7"
"1","Proceeds or Issuance of Long Term Debt","1,838.4","152.2","2,041.3","2,076.9"
"1","Proceeds or Issuance of Short Term Debt","-","-","-","-"
"1","Issuance/Payments of ST Debt,Net","-","-","-","-"
"2","Payments to Settle Short Term Debt","-","-","-","-"
"1","Payments for Common Stock","-","-","-","-28.7"
"1","Proceeds or Issuance of Common Stock","358.4","-","835.1","-"
"0","Cash Dividends Paid","-","-","-","-"
"1","Common Stock Dividends Paid","-","-","-","-"
"0","Other Financing Changes, Net","-2.6","1.4","-34.4","0.3"
"0","Cash Flow from Financing Activities","867.6","-213.9","2,377.7","-278.3"
"0","Cash, Equivalents, Start of Period","46.5","52.0","34.9","62.1"
"0","Cash, Equivalents, End of Period","52.0","34.9","62.1","132.8"
"0","Change in Cash","7.2","-9.6","25.0","67.9"
"0","Free Cash Flow","130.3","204.5","291.6","320.2"
"0","Effect of Exchange Rate Changes","-1.7","-7.5","2.2","2.8"
