"0","Period End Date","9/30/2017","12/31/2017","3/31/2018","6/30/2018"
"0","Stmt Source","6-K","NA","6-K","6-K"
"0","Stmt Source Date","11/16/2017","-","5/7/2018","8/17/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","8,191.7","9,019.1","8,060.8","7,579.9"
"0","Cost of Revenue","4,101.6","4,511.8","4,000.0","3,954.0"
"0","Gross Profit","4,090.1","4,507.3","4,060.8","3,625.8"
"0","Selling,General and Administrative","210.9","247.7","204.7","212.8"
"1","General and Administrative Expense","162.6","195.6","157.6","164.8"
"1","Selling and Marketing Expense","48.3","52.2","47.1","48.0"
"0","Research and Development","683.8","689.4","663.8","646.3"
"0","Special Income/Charges","-0.1","-35.6","0.1","0.0"
"0","Operating Expenses","904.1","934.3","910.8","880.7"
"0","Operating Income","3,186.0","3,572.9","3,150.0","2,745.2"
"0","Net Interest Income","-27.4","280.6","-26.3","95.6"
"0","Other Income/Expense,Net","107.5","-223.9","123.7","5.2"
"0","Pre-Tax Income","3,266.1","3,629.6","3,247.5","2,846.0"
"0","Provision for Income Tax","343.4","341.4","330.0","497.0"
"0","Net Income","2,921.9","3,287.4","2,917.4","2,348.9"
"0","Dividend Per Share","0.00","0.00","0.00","1.34"
"0","Tax Rate","0.00454902","0.00422409","0.00422409","0.00389916"
"0","Basic EPS","0.56","0.63","0.56","0.45"
"1","Basic Weighted Average Shares","168.51","168.51","168.51","168.51"
"1","Basic EPS from Continuing Operations","0.56","0.63","0.56","0.45"
"1","Basic EPS,Continuing and Discontinued","-","-","-","-"
"0","Diluted EPS","0.56","0.63","0.56","0.45"
"1","Diluted Weighted Average Shares","168.51","168.51","168.51","168.51"
"1","Diluted EPS from Continuing Operations","0.56","0.63","0.56","0.45"
"1","Diluted EPS,Continuing and Discontinued","-","-","-","-"
