"0","Period End Date","3/31/2015","3/31/2016","3/31/2017","3/31/2018"
"0","Stmt Source","20-F","20-F","20-F","20-F"
"0","Stmt Source Date","7/28/2017","7/31/2018","7/31/2018","7/31/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","36,814.8","37,595.7","36,920.0","40,067.3"
"0","Cost of Revenue","22,628.0","22,912.9","23,222.1","25,984.9"
"0","Gross Profit","14,186.9","14,682.8","13,697.9","14,082.4"
"0","Selling,General and Administrative","3,520.3","4,056.3","3,998.6","4,252.5"
"1","General and Administrative Expense","3,520.3","4,056.3","3,998.6","4,252.5"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","396.3","482.1","474.4","490.9"
"0","Special Income/Charges","-48.8","-131.7","-158.7","96.5"
"0","Operating Expenses","10,652.4","12,225.8","12,241.2","13,107.5"
"0","Operating Income","3,534.4","2,457.0","1,456.7","974.9"
"0","Net Interest Income","-631.9","-566.0","-510.4","-545.4"
"0","Other Income/Expense,Net","-147.5","-162.3","414.4","1,040.1"
"0","Pre-Tax Income","2,755.0","1,728.7","1,360.7","1,469.6"
"0","Provision for Income Tax","961.0","382.4","495.7","528.9"
"0","Net Income","1,783.0","1,332.6","850.7","926.5"
"0","Dividend Per Share","0.12","0.00","0.01","0.00"
"0","Tax Rate","0.00486430","0.00305756","0.00500328","0.00500328"
"0","Basic EPS","2.74","1.97","1.25","1.36"
"1","Basic Weighted Average Shares","9.04","9.39","9.44","9.44"
"1","Basic EPS from Continuing Operations","2.74","1.97","1.25","1.36"
"1","Basic EPS,Continuing and Discontinued","-","-","-","-"
"0","Diluted EPS","2.74","1.97","1.25","1.36"
"1","Diluted Weighted Average Shares","9.04","9.40","9.44","9.44"
"1","Diluted EPS from Continuing Operations","2.74","1.97","1.25","1.36"
"1","Diluted EPS,Continuing and Discontinued","-","-","-","-"
