"0","Period End Date","9/30/2017","12/31/2017","3/31/2018","6/30/2018"
"0","Stmt Source","10-Q","NA","10-Q","10-Q"
"0","Stmt Source Date","10/25/2017","-","5/10/2018","8/1/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","214.1","217.9","221.2","236.1"
"0","Cost of Revenue","110.7","112.4","118.4","126.8"
"0","Gross Profit","103.4","105.5","102.8","109.3"
"0","Selling,General and Administrative","44.7","45.7","47.6","52.3"
"1","General and Administrative Expense","-","-","-","-"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","11.8","12.0","13.0","15.8"
"0","Special Income/Charges","-","-","-","-"
"0","Operating Expenses","60.0","61.2","64.0","72.1"
"0","Operating Income","43.4","44.3","38.8","37.1"
"0","Net Interest Income","-","-","-","-"
"0","Other Income/Expense,Net","0.1","0.9","0.6","0.6"
"0","Pre-Tax Income","43.5","45.2","39.4","37.7"
"0","Provision for Income Tax","5.3","-16.6","1.6","-1.5"
"0","Net Income","38.3","61.8","37.8","39.2"
"0","Dividend Per Share","0.00","0.00","0.00","0.00"
"0","Tax Rate","0.12","-0.11","0.03","0.07"
"0","Basic EPS","1.02","1.66","1.00","1.02"
"1","Basic Weighted Average Shares","37.39","37.38","38.00","38.39"
"1","Basic EPS from Continuing Operations","1.02","1.66","1.00","1.02"
"1","Basic EPS,Continuing and Discontinued","-","-","-","-"
"0","Diluted EPS","0.97","1.58","0.95","0.97"
"1","Diluted Weighted Average Shares","39.34","39.19","39.84","40.22"
"1","Diluted EPS from Continuing Operations","0.97","1.58","0.95","0.97"
"1","Diluted EPS,Continuing and Discontinued","-","-","-","-"
