"0","Period End Date","12/31/2014","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","20-F","20-F","20-F","20-F"
"0","Stmt Source Date","4/26/2018","4/26/2018","4/26/2018","4/26/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","724.0","937.7","1,212.7","1,281.5"
"0","Cost of Revenue","565.9","627.9","850.2","996.5"
"0","Gross Profit","158.1","309.8","362.5","285.0"
"0","Selling,General and Administrative","123.5","154.3","197.7","232.9"
"1","General and Administrative Expense","81.3","98.1","124.8","145.6"
"1","Selling and Marketing Expense","42.2","56.2","72.9","87.2"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","-","-","-","-"
"0","Operating Expenses","147.6","180.3","221.2","284.0"
"0","Operating Income","10.5","129.5","141.3","1.0"
"0","Net Interest Income","-0.5","1.3","3.5","1.0"
"0","Other Income/Expense,Net","23.1","49.9","111.9","-40.9"
"0","Pre-Tax Income","33.2","180.6","256.7","-39.0"
"0","Provision for Income Tax","2.0","53.6","75.2","-8.3"
"0","Net Income","31.2","127.1","181.5","-30.7"
"0","Dividend Per Share","-","-","-","-"
"0","Tax Rate","0.00309474","0.01547370","0.01495791","0.01083159"
"0","Basic EPS","0.31","1.26","1.79","-0.30"
"1","Basic Weighted Average Shares","5.22","5.22","5.22","5.22"
"1","Basic EPS from Continuing Operations","0.31","1.26","1.79","-0.30"
"1","Basic EPS,Continuing and Discontinued","-","-","-","-"
"0","Diluted EPS","0.31","1.26","1.79","-0.30"
"1","Diluted Weighted Average Shares","5.22","5.22","5.22","5.22"
"1","Diluted EPS from Continuing Operations","0.31","1.26","1.79","-0.30"
"1","Diluted EPS,Continuing and Discontinued","-","-","-","-"
