"0","Period End Date","9/30/2017","12/31/2017","3/31/2018","6/30/2018"
"0","Stmt Source","10-Q","NA","10-Q","10-Q"
"0","Stmt Source Date","11/1/2017","-","5/4/2018","7/31/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","957.9","1,075.5","1,056.2","1,111.7"
"0","Cost of Revenue","704.7","807.1","745.3","787.7"
"0","Gross Profit","253.2","268.4","310.9","324.0"
"0","Selling,General and Administrative","117.8","144.1","147.2","171.2"
"1","General and Administrative Expense","-","-","-","-"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","24.7","23.7","22.0","19.4"
"0","Special Income/Charges","-","-","-","-"
"0","Operating Expenses","151.2","177.3","179.6","200.4"
"0","Operating Income","102.0","91.2","131.3","123.5"
"0","Net Interest Income","-17.9","-17.7","-20.3","-31.9"
"0","Other Income/Expense,Net","-2.9","1.2","2.6","2.2"
"0","Pre-Tax Income","81.2","74.7","113.6","93.8"
"0","Provision for Income Tax","12.7","25.0","26.1","10.5"
"0","Net Income","67.4","48.9","88.4","84.4"
"0","Dividend Per Share","0.12","0.12","0.12","0.12"
"0","Tax Rate","0.17","0.25","0.24","0.20"
"0","Basic EPS","0.70","0.51","0.92","0.88"
"1","Basic Weighted Average Shares","95.71","96.32","95.81","95.99"
"1","Basic EPS from Continuing Operations","0.70","0.51","0.92","0.88"
"1","Basic EPS,Continuing and Discontinued","-","-","-","-"
"0","Diluted EPS","0.70","0.50","0.92","0.87"
"1","Diluted Weighted Average Shares","96.32","97.08","96.37","96.58"
"1","Diluted EPS from Continuing Operations","0.70","0.50","0.92","0.87"
"1","Diluted EPS,Continuing and Discontinued","-","-","-","-"
