"0","Period End Date","12/31/2014","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","10-K","10-K","10-K","10-K"
"0","Stmt Source Date","2/16/2017","2/15/2018","2/15/2018","2/15/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","13,996.0","12,961.0","13,609.0","14,485.0"
"0","Cost of Revenue","9,002.0","8,231.0","8,486.0","9,021.0"
"0","Gross Profit","4,994.0","4,730.0","5,123.0","5,464.0"
"0","Selling,General and Administrative","1,440.0","1,343.0","1,370.0","1,426.0"
"1","General and Administrative Expense","1,440.0","-","1,370.0","1,426.0"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","78.0","-652.0","-120.0","10.0"
"0","Operating Expenses","2,773.0","2,588.0","2,711.0","2,844.0"
"0","Operating Income","2,221.0","2,142.0","2,412.0","2,620.0"
"0","Net Interest Income","-466.0","-385.0","-376.0","-363.0"
"0","Other Income/Expense,Net","-4.0","-697.0","-214.0","-66.0"
"0","Pre-Tax Income","1,751.0","1,060.0","1,822.0","2,191.0"
"0","Provision for Income Tax","413.0","308.0","642.0","242.0"
"0","Net Income","1,298.0","753.0","1,182.0","1,949.0"
"0","Dividend Per Share","1.50","1.54","1.64","1.70"
"0","Tax Rate","0.24","0.29","0.35","0.11"
"0","Basic EPS","2.80","1.66","2.66","4.44"
"1","Basic Weighted Average Shares","462.60","452.70","443.50","438.80"
"1","Basic EPS from Continuing Operations","2.80","1.66","2.66","4.44"
"1","Basic EPS,Continuing and Discontinued","-","-","-","-"
"0","Diluted EPS","2.79","1.65","2.65","4.41"
"1","Diluted Weighted Average Shares","465.60","455.90","446.50","441.90"
"1","Diluted EPS from Continuing Operations","2.79","1.65","2.65","4.41"
"1","Diluted EPS,Continuing and Discontinued","-","-","-","-"
