"0","Period End Date","8/31/2017","11/30/2017","2/28/2018","5/31/2018"
"0","Stmt Source","10-Q","10-Q","10-Q","NA"
"0","Stmt Source Date","10/10/2017","1/9/2018","4/9/2018","-"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","848.2","871.3","841.7","1,020.5"
"0","Cost of Revenue","715.5","731.2","714.6","857.5"
"0","Gross Profit","132.8","140.1","127.1","162.9"
"0","Selling,General and Administrative","88.2","89.4","84.3","105.5"
"1","General and Administrative Expense","-","-","-","-"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","-2.3","1.4","0.0","-52.9"
"0","Operating Expenses","88.2","89.4","84.3","105.5"
"0","Operating Income","44.5","50.7","42.8","57.5"
"0","Net Interest Income","-8.8","-10.0","-9.8","-10.1"
"0","Other Income/Expense,Net","25.4","19.2","21.3","-13.4"
"0","Pre-Tax Income","61.1","59.8","54.3","34.0"
"0","Provision for Income Tax","13.0","18.2","-24.0","1.1"
"0","Net Income","45.5","39.4","79.1","30.8"
"0","Dividend Per Share","0.20","0.21","0.21","0.21"
"0","Tax Rate","0.26","0.28","0.14","0.04"
"0","Basic EPS","0.73","0.64","1.31","0.53"
"1","Basic Weighted Average Shares","62.44","61.50","60.38","59.34"
"1","Basic EPS from Continuing Operations","0.73","0.64","1.31","0.53"
"1","Basic EPS,Continuing and Discontinued","-","-","-","-"
"0","Diluted EPS","0.70","0.62","1.27","0.51"
"1","Diluted Weighted Average Shares","64.59","63.47","62.35","61.65"
"1","Diluted EPS from Continuing Operations","0.70","0.62","1.27","0.51"
"1","Diluted EPS,Continuing and Discontinued","-","-","-","-"
