"0","Period End Date","9/30/2017","12/31/2017","3/31/2018","6/30/2018"
"0","Stmt Source","10-Q","NA","10-Q","10-Q"
"0","Stmt Source Date","11/1/2017","-","5/2/2018","8/1/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","144.1","139.4","132.5","142.1"
"0","Cost of Revenue","-","-","-","-"
"0","Gross Profit","-","-","-","-"
"0","Selling,General and Administrative","34.4","33.2","28.9","30.3"
"1","General and Administrative Expense","34.4","33.2","28.9","30.3"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","0.0","-0.2","3.8","0.0"
"0","Operating Expenses","94.5","92.1","84.6","98.1"
"0","Operating Income","49.6","47.3","47.9","43.9"
"0","Net Interest Income","-17.4","-11.6","-17.5","-14.8"
"0","Other Income/Expense,Net","-1.0","-4.1","4.4","-0.9"
"0","Pre-Tax Income","31.3","31.5","34.7","28.3"
"0","Provision for Income Tax","0.6","2.0","0.8","0.7"
"0","Net Income","72.6","168.0","146.8","78.3"
"0","Dividend Per Share","0.39","0.39","0.40","0.40"
"0","Tax Rate"
"0","Basic EPS","0.57","1.31","1.15","0.61"
"1","Basic Weighted Average Shares","127.80","127.82","127.93","127.51"
"1","Basic EPS from Continuing Operations","0.27","0.28","0.30","0.25"
"1","Basic EPS,Continuing and Discontinued","0.30","1.03","0.85","0.37"
"0","Diluted EPS","0.56","1.30","1.13","0.61"
"1","Diluted Weighted Average Shares","130.08","130.10","130.14","129.75"
"1","Diluted EPS from Continuing Operations","0.27","0.28","0.29","0.25"
"1","Diluted EPS,Continuing and Discontinued","0.30","1.02","0.84","0.36"
