"0","Period End Date","9/30/2017","12/31/2017","3/31/2018","6/30/2018"
"0","Stmt Source","10-Q","NA","10-Q","10-Q"
"0","Stmt Source Date","11/9/2017","-","5/9/2018","8/8/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","581.3","578.6","534.1","566.9"
"0","Cost of Revenue","350.6","356.5","306.2","332.7"
"0","Gross Profit","230.7","222.1","227.9","234.2"
"0","Selling,General and Administrative","172.4","184.1","163.7","163.3"
"1","General and Administrative Expense","-","-","-","-"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","-23.0","-75.9","0.0","-"
"0","Operating Expenses","172.4","219.4","166.4","166.1"
"0","Operating Income","58.3","2.7","61.5","68.1"
"0","Net Interest Income","-8.6","-8.7","-7.2","-5.7"
"0","Other Income/Expense,Net","-22.6","-74.9","0.6","5.3"
"0","Pre-Tax Income","27.1","-80.9","54.9","67.7"
"0","Provision for Income Tax","4.3","-20.1","8.3","12.2"
"0","Net Income","23.2","-60.3","46.7","55.3"
"0","Dividend Per Share","0.06","0.06","0.08","0.08"
"0","Tax Rate","0.15","0.78","0.15","0.18"
"0","Basic EPS","0.24","-0.63","0.49","0.58"
"1","Basic Weighted Average Shares","94.00","91.60","93.70","93.10"
"1","Basic EPS from Continuing Operations","0.24","-0.63","0.49","0.58"
"1","Basic EPS,Continuing and Discontinued","-","-","-","-"
"0","Diluted EPS","0.24","-0.63","0.48","0.57"
"1","Diluted Weighted Average Shares","95.80","93.60","95.60","95.00"
"1","Diluted EPS from Continuing Operations","0.24","-0.63","0.48","0.57"
"1","Diluted EPS,Continuing and Discontinued","-","-","-","-"
