"0","Period End Date","12/31/2014","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","10-K","10-K","10-K","10-K"
"0","Stmt Source Date","2/23/2017","2/23/2018","2/23/2018","2/23/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","3,916.0","3,653.0","3,771.0","4,707.0"
"0","Cost of Revenue","2,403.0","2,249.0","2,310.0","2,856.0"
"0","Gross Profit","1,513.0","1,404.0","1,461.0","1,851.0"
"0","Selling,General and Administrative","920.0","854.0","915.0","1,090.0"
"1","General and Administrative Expense","-","-","-","-"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","104.0","95.0","110.0","180.0"
"0","Special Income/Charges","-15.0","3.0","-30.0","-35.0"
"0","Operating Expenses","1,024.0","949.0","1,025.0","1,270.0"
"0","Operating Income","489.0","455.0","436.0","581.0"
"0","Net Interest Income","-52.0","-53.0","-68.0","-79.0"
"0","Other Income/Expense,Net","-16.0","1.0","-28.0","-36.0"
"0","Pre-Tax Income","421.0","403.0","340.0","466.0"
"0","Provision for Income Tax","84.0","63.0","80.0","136.0"
"0","Net Income","337.0","340.0","260.0","331.0"
"0","Dividend Per Share","0.51","0.56","0.62","0.72"
"0","Tax Rate","0.20","0.16","0.24","0.29"
"0","Basic EPS","1.84","1.88","1.45","1.84"
"1","Basic Weighted Average Shares","183.10","180.90","179.10","179.60"
"1","Basic EPS from Continuing Operations","1.84","1.88","1.45","1.84"
"1","Basic EPS,Continuing and Discontinued","-","-","-","-"
"0","Diluted EPS","1.83","1.87","1.45","1.83"
"1","Diluted Weighted Average Shares","184.20","181.70","180.00","180.90"
"1","Diluted EPS from Continuing Operations","1.83","1.87","1.45","1.83"
"1","Diluted EPS,Continuing and Discontinued","-","-","-","-"
